中国银行 异动预警  数据区间 2026-07-28 ~ 2026-08-25  共117条
[2026-08-18] [高] 跳变            13:30  同槽较前日+456.7% (55,702->310,092手)
[2026-08-18] [高] 跳变            13:45  同槽较前日+1272.5% (20,939->287,384手)
[2026-08-18] [中] 跳变            14:00  同槽较前日+84.0% (66,863->123,039手)
[2026-08-18] [高] 跳变            14:15  同槽较前日+101.0% (73,135->147,012手)
[2026-08-18] [高] 跳变            14:30  同槽较前日+172.2% (55,592->151,329手)
[2026-08-18] [高] 跳变            14:45  同槽较前日+227.0% (58,971->192,831手)
[2026-08-18] [中] 跳变            15:00  同槽较前日+71.0% (151,810->259,587手)
[2026-08-17] [中] 跳变            10:45  同槽较前日-51.2% (151,879->74,044手)
[2026-08-17] [中] 跳变            11:00  同槽较前日-53.7% (127,536->58,993手)
[2026-08-17] [高] 跳变            11:15  同槽较前日+438.4% (29,413->158,364手)
[2026-08-17] [中] 跳变            13:30  同槽较前日-51.3% (114,261->55,702手)
[2026-08-17] [中] 跳变            13:45  同槽较前日-82.4% (119,298->20,939手)
[2026-08-17] [中] 跳变            14:15  同槽较前日-55.6% (164,778->73,135手)
[2026-08-14] [中] 跳变            11:00  同槽较前日+63.1% (78,172->127,536手)
[2026-08-14] [中] 跳变            11:15  同槽较前日-90.2% (299,405->29,413手)
[2026-08-14] [中] 跳变            14:30  同槽较前日-72.3% (188,041->52,050手)
[2026-08-14] [中] 跳变            14:45  同槽较前日-64.3% (187,369->66,863手)
[2026-08-14] [中] 跳变            15:00  同槽较前日-55.1% (267,658->120,119手)
[2026-08-13] [中] 跳变            10:00  同槽较前日+80.6% (164,038->296,275手)
[2026-08-13] [中] 跳变            10:45  同槽较前日+52.6% (182,047->277,849手)
[2026-08-13] [中] 跳变            13:30  同槽较前日-57.3% (185,535->79,276手)
[2026-08-13] [高] 跳变            13:45  同槽较前日+118.8% (85,232->186,515手)
[2026-08-13] [高] 跳变            14:15  同槽较前日+177.7% (69,527->193,089手)
[2026-08-13] [高] 跳变            14:30  同槽较前日+247.8% (54,060->188,041手)
[2026-08-13] [高] 跳变            14:45  同槽较前日+273.8% (50,119->187,369手)
[2026-08-13] [高] 跳变            15:00  同槽较前日+146.0% (108,787->267,658手)
[2026-08-12] [高] 跳变            11:15  同槽较前日+369.9% (66,927->314,492手)
[2026-08-12] [中] 跳变            11:30  同槽较前日+62.1% (118,679->192,346手)
[2026-08-12] [中] 跳变            13:15  同槽较前日+52.5% (88,282->134,656手)
[2026-08-12] [高] 跳变            13:30  同槽较前日+203.9% (61,042->185,535手)
[2026-08-12] [中] 跳变            13:45  同槽较前日+56.1% (54,607->85,232手)
[2026-08-12] [中] 跳变            14:45  同槽较前日-68.6% (159,671->50,119手)
[2026-08-11] [中] 跳变            09:45  同槽较前日-54.3% (585,587->267,762手)
[2026-08-11] [高] 跳变            10:45  同槽较前日+111.4% (111,673->236,079手)
[2026-08-11] [中] 跳变            11:00  同槽较前日-69.8% (246,629->74,593手)
[2026-08-11] [高] 跳变            11:30  同槽较前日+108.1% (57,035->118,679手)
[2026-08-11] [中] 跳变            14:15  同槽较前日-77.3% (219,983->49,930手)
[2026-08-11] [中] 跳变            15:00  同槽较前日+64.3% (91,772->150,764手)
[2026-08-10] [中] 跳变            09:45  同槽较前日+64.9% (355,085->585,587手)
[2026-08-10] [高] 跳变            10:30  同槽较前日+282.6% (80,126->306,577手)
[2026-08-10] [中] 跳变            10:45  同槽较前日-58.6% (270,061->111,673手)
[2026-08-10] [高] 跳变            11:00  同槽较前日+269.8% (66,701->246,629手)
[2026-08-10] [中] 跳变            13:30  同槽较前日-73.8% (159,469->41,847手)
[2026-08-10] [中] 跳变            13:45  同槽较前日-62.5% (197,005->73,800手)
[2026-08-10] [中] 跳变            14:00  同槽较前日-65.8% (135,311->46,234手)
[2026-08-10] [中] 跳变            14:15  同槽较前日+88.3% (116,818->219,983手)
[2026-08-10] [中] 跳变            14:45  同槽较前日+85.5% (85,231->158,114手)
[2026-08-07] [高] 跳变            10:45  同槽较前日+206.0% (88,248->270,061手)
[2026-08-07] [中] 跳变            11:00  同槽较前日+52.3% (43,801->66,701手)
[2026-08-07] [中] 跳变            11:15  同槽较前日-54.2% (180,346->82,638手)
[2026-08-07] [中] 跳变            11:30  同槽较前日-61.2% (190,987->74,110手)
[2026-08-07] [中] 跳变            14:45  同槽较前日-53.5% (183,431->85,231手)
[2026-08-06] [中] 跳变            11:00  同槽较前日-71.0% (150,889->43,801手)
[2026-08-06] [高] 跳变            11:15  同槽较前日+109.7% (86,002->180,346手)
[2026-08-06] [中] 跳变            11:30  同槽较前日+62.7% (117,415->190,987手)
[2026-08-06] [中] 跳变            13:30  同槽较前日+72.0% (175,821->302,455手)
[2026-08-05] [中] 跳变            10:15  同槽较前日-51.2% (455,041->221,915手)
[2026-08-05] [中] 跳变            10:30  同槽较前日-57.5% (264,310->112,287手)
[2026-08-05] [中] 跳变            10:45  同槽较前日-59.1% (286,249->116,934手)
[2026-08-05] [中] 跳变            13:15  同槽较前日+97.2% (181,838->358,637手)
[2026-08-05] [高] 跳变            13:45  同槽较前日+113.5% (100,025->213,597手)
[2026-08-05] [高] 量价背离             全天  价跌-1.2%但量比达1.23
[2026-08-04] [中] 跳变            10:00  同槽较前日+69.2% (369,023->624,310手)
[2026-08-04] [中] 跳变            10:45  同槽较前日+83.7% (155,797->286,249手)
[2026-08-04] [中] 跳变            13:15  同槽较前日+69.8% (107,059->181,838手)
[2026-08-04] [中] 跳变            15:00  同槽较前日+53.5% (242,844->372,885手)
[2026-08-04] [高] 量价背离             全天  价跌-2.7%但量比达1.36
[2026-08-03] [中] 跳变            09:45  同槽较前日-56.2% (1,406,189->616,340手)
[2026-08-03] [中] 跳变            14:00  同槽较前日-66.2% (240,490->81,208手)
[2026-08-03] [中] 跳变            14:15  同槽较前日-62.2% (276,881->104,582手)
[2026-07-31] [高] 跳变            09:45  同槽较前日+243.1% (409,803->1,406,189手)
[2026-07-31] [高] 跳变            10:00  同槽较前日+273.5% (191,430->715,043手)
[2026-07-31] [中] 跳变            10:15  同槽较前日+65.3% (246,428->407,314手)
[2026-07-31] [高] 跳变            11:00  同槽较前日+337.8% (64,847->283,901手)
[2026-07-31] [中] 跳变            11:15  同槽较前日-63.8% (332,292->120,285手)
[2026-07-31] [中] 跳变            14:15  同槽较前日+99.7% (138,624->276,881手)
[2026-07-31] [中] 跳变            14:45  同槽较前日+69.3% (174,525->295,413手)
[2026-07-30] [中] 跳变            10:45  同槽较前日-55.2% (264,100->118,189手)
[2026-07-30] [高] 跳变            11:15  同槽较前日+139.6% (138,663->332,292手)
[2026-07-30] [高] 跳变            11:30  同槽较前日+127.6% (108,273->246,405手)
[2026-07-30] [中] 跳变            13:30  同槽较前日+59.4% (131,750->210,039手)
[2026-07-30] [高] 跳变            14:00  同槽较前日+308.3% (63,887->260,836手)
[2026-07-29] [中] 跳变            09:45  同槽较前日+63.5% (345,332->564,654手)
[2026-07-29] [高] 跳变            10:45  同槽较前日+132.3% (113,665->264,100手)
[2026-07-29] [中] 跳变            13:15  同槽较前日+76.2% (122,662->216,129手)
[2026-07-29] [高] 量价背离             全天  价跌-1.5%但量比达1.11
