工业富联 异动预警  数据区间 2026-08-14 ~ 2026-09-11  共125条
[2026-08-28] [中] 跳变            14:15  同槽较前日+77.3% (21,263->37,696手)
[2026-08-28] [中] 跳变            14:45  同槽较前日+57.4% (42,492->66,871手)
[2026-08-27] [高] 跳变            09:45  同槽较前日+256.5% (114,405->407,895手)
[2026-08-27] [高] 跳变            10:00  同槽较前日+135.2% (55,968->131,660手)
[2026-08-27] [高] 跳变            10:30  同槽较前日+120.6% (44,555->98,284手)
[2026-08-27] [高] 跳变            10:45  同槽较前日+102.6% (66,558->134,873手)
[2026-08-27] [高] 跳变            11:00  同槽较前日+213.3% (33,222->104,069手)
[2026-08-27] [高] 跳变            11:15  同槽较前日+108.2% (23,872->49,698手)
[2026-08-27] [高] 跳变            11:30  同槽较前日+208.0% (25,974->79,992手)
[2026-08-27] [中] 跳变            13:15  同槽较前日+91.3% (29,653->56,729手)
[2026-08-27] [高] 跳变            13:30  同槽较前日+136.3% (23,184->54,794手)
[2026-08-27] [高] 跳变            13:45  同槽较前日+107.7% (24,322->50,524手)
[2026-08-27] [中] 跳变            15:00  同槽较前日+78.1% (68,985->122,848手)
[2026-08-26] [中] 跳变            10:15  同槽较前日+63.9% (43,903->71,968手)
[2026-08-26] [中] 跳变            10:45  同槽较前日+86.2% (35,747->66,558手)
[2026-08-26] [中] 跳变            14:00  同槽较前日+56.2% (19,847->30,999手)
[2026-08-26] [中] 跳变            14:45  同槽较前日+63.8% (46,933->76,860手)
[2026-08-25] [中] 跳变            10:45  同槽较前日-66.3% (106,044->35,747手)
[2026-08-25] [中] 跳变            11:00  同槽较前日-63.6% (65,672->23,908手)
[2026-08-25] [中] 跳变            13:15  同槽较前日+55.3% (34,284->53,250手)
[2026-08-25] [中] 跳变            14:00  同槽较前日-60.0% (49,572->19,847手)
[2026-08-25] [中] 量价背离             全天  价涨2.4%但量比仅0.72
[2026-08-24] [中] 跳变            10:00  同槽较前日+76.9% (62,595->110,732手)
[2026-08-24] [高] 跳变            10:45  同槽较前日+180.2% (37,845->106,044手)
[2026-08-24] [高] 跳变            11:00  同槽较前日+125.1% (29,168->65,672手)
[2026-08-24] [高] 跳变            11:15  同槽较前日+172.4% (17,124->46,654手)
[2026-08-24] [高] 跳变            11:30  同槽较前日+126.6% (14,330->32,467手)
[2026-08-24] [中] 跳变            13:45  同槽较前日+60.7% (25,213->40,525手)
[2026-08-24] [中] 跳变            14:00  同槽较前日+65.4% (29,972->49,572手)
[2026-08-24] [中] 跳变            14:30  同槽较前日-59.3% (87,972->35,838手)
[2026-08-21] [中] 跳变            13:30  同槽较前日+92.9% (22,366->43,147手)
[2026-08-21] [高] 跳变            14:30  同槽较前日+144.9% (35,918->87,972手)
[2026-08-21] [中] 跳变            14:45  同槽较前日+77.7% (41,146->73,126手)
[2026-08-21] [中] 量价背离             全天  价涨1.9%但量比仅0.76
[2026-08-20] [中] 跳变            10:15  同槽较前日-52.1% (122,042->58,409手)
[2026-08-20] [中] 跳变            10:30  同槽较前日-56.4% (106,836->46,547手)
[2026-08-20] [中] 跳变            10:45  同槽较前日-74.5% (120,145->30,675手)
[2026-08-20] [中] 跳变            11:30  同槽较前日-72.4% (72,737->20,108手)
[2026-08-20] [中] 跳变            13:15  同槽较前日-75.1% (105,568->26,312手)
[2026-08-20] [中] 跳变            13:30  同槽较前日-68.0% (69,997->22,366手)
[2026-08-20] [中] 跳变            14:45  同槽较前日-63.3% (112,246->41,146手)
[2026-08-19] [中] 跳变            10:45  同槽较前日+88.2% (63,833->120,145手)
[2026-08-19] [中] 跳变            11:00  同槽较前日-62.2% (107,694->40,694手)
[2026-08-19] [高] 跳变            11:30  同槽较前日+113.0% (34,149->72,737手)
[2026-08-19] [高] 跳变            13:15  同槽较前日+179.4% (37,781->105,568手)
[2026-08-19] [高] 跳变            13:30  同槽较前日+102.7% (34,527->69,997手)
[2026-08-19] [中] 跳变            13:45  同槽较前日+52.4% (25,854->39,412手)
[2026-08-19] [中] 跳变            14:30  同槽较前日+67.9% (29,231->49,070手)
[2026-08-19] [中] 跳变            14:45  同槽较前日+98.9% (56,423->112,246手)
[2026-08-19] [高] 量价背离             全天  价跌-3.5%但量比达1.32
[2026-08-18] [中] 跳变            10:15  同槽较前日+51.6% (83,568->126,680手)
[2026-08-18] [高] 跳变            10:30  同槽较前日+139.3% (50,058->119,792手)
[2026-08-18] [中] 跳变            11:00  同槽较前日+75.2% (61,477->107,694手)
[2026-08-18] [中] 跳变            13:15  同槽较前日-67.0% (114,640->37,781手)
[2026-08-18] [中] 跳变            13:30  同槽较前日-72.2% (124,126->34,527手)
[2026-08-18] [中] 跳变            13:45  同槽较前日-57.4% (60,684->25,854手)
[2026-08-18] [中] 跳变            14:00  同槽较前日-71.2% (113,386->32,707手)
[2026-08-18] [高] 量价背离             全天  价跌-2.2%但量比达1.25
[2026-08-17] [高] 跳变            09:45  同槽较前日+134.1% (174,348->408,211手)
[2026-08-17] [中] 跳变            10:00  同槽较前日+69.5% (111,017->188,170手)
[2026-08-17] [中] 跳变            10:45  同槽较前日-66.7% (130,796->43,521手)
[2026-08-17] [高] 跳变            11:15  同槽较前日+113.3% (31,794->67,816手)
[2026-08-17] [高] 跳变            13:15  同槽较前日+252.7% (32,506->114,640手)
[2026-08-17] [高] 跳变            13:30  同槽较前日+301.6% (30,911->124,126手)
[2026-08-17] [中] 跳变            13:45  同槽较前日+51.0% (40,189->60,684手)
[2026-08-17] [中] 跳变            14:00  同槽较前日+92.9% (58,778->113,386手)
