华能蒙电 异动预警  数据区间 2026-08-14 ~ 2026-09-11  共130条
[2026-09-03] [高] 跳变            11:15  同槽较前日+653.4% (17,420->131,241手)
[2026-09-03] [中] 跳变            11:30  同槽较前日+97.9% (16,238->32,127手)
[2026-09-03] [高] 跳变            13:30  同槽较前日+173.9% (18,550->50,805手)
[2026-09-03] [高] 跳变            13:45  同槽较前日+183.3% (8,548->24,218手)
[2026-09-03] [中] 跳变            14:00  同槽较前日+68.7% (19,180->32,356手)
[2026-09-03] [高] 跳变            14:15  同槽较前日+126.8% (11,794->26,748手)
[2026-09-03] [中] 跳变            14:30  同槽较前日-67.6% (57,756->18,726手)
[2026-09-02] [中] 跳变            09:45  同槽较前日+78.2% (91,808->163,564手)
[2026-09-02] [中] 跳变            11:15  同槽较前日-63.1% (47,249->17,420手)
[2026-09-02] [中] 跳变            13:15  同槽较前日+86.4% (21,861->40,743手)
[2026-09-02] [中] 跳变            13:30  同槽较前日-63.8% (51,241->18,550手)
[2026-09-02] [中] 跳变            14:15  同槽较前日-83.9% (73,156->11,794手)
[2026-09-02] [中] 跳变            14:30  同槽较前日-54.0% (125,614->57,756手)
[2026-09-01] [高] 跳变            10:15  同槽较前日+538.2% (40,173->256,371手)
[2026-09-01] [高] 跳变            10:30  同槽较前日+233.1% (23,115->76,996手)
[2026-09-01] [高] 跳变            10:45  同槽较前日+102.5% (24,808->50,246手)
[2026-09-01] [中] 跳变            11:00  同槽较前日-50.6% (43,527->21,491手)
[2026-09-01] [高] 跳变            11:15  同槽较前日+100.6% (23,550->47,249手)
[2026-09-01] [中] 跳变            11:30  同槽较前日+71.3% (11,868->20,329手)
[2026-09-01] [中] 跳变            13:45  同槽较前日-56.5% (18,614->8,104手)
[2026-09-01] [高] 跳变            14:15  同槽较前日+350.5% (16,238->73,156手)
[2026-09-01] [高] 跳变            14:30  同槽较前日+264.8% (34,434->125,614手)
[2026-08-31] [中] 跳变            10:00  同槽较前日+52.9% (71,389->109,146手)
[2026-08-31] [中] 跳变            10:45  同槽较前日-55.4% (55,663->24,808手)
[2026-08-31] [中] 跳变            11:00  同槽较前日+89.4% (22,980->43,527手)
[2026-08-31] [高] 跳变            11:15  同槽较前日+129.5% (10,260->23,550手)
[2026-08-31] [中] 跳变            13:30  同槽较前日+66.0% (24,556->40,764手)
[2026-08-31] [中] 跳变            14:00  同槽较前日+90.6% (9,169->17,478手)
[2026-08-31] [高] 跳变            14:30  同槽较前日+116.0% (15,943->34,434手)
[2026-08-28] [中] 跳变            10:45  同槽较前日+57.0% (35,444->55,663手)
[2026-08-28] [中] 跳变            11:15  同槽较前日-64.3% (28,778->10,260手)
[2026-08-28] [中] 跳变            11:30  同槽较前日-50.3% (23,129->11,497手)
[2026-08-28] [中] 跳变            14:00  同槽较前日-75.6% (37,627->9,169手)
[2026-08-27] [中] 跳变            09:45  同槽较前日+55.7% (95,629->148,912手)
[2026-08-27] [中] 跳变            11:00  同槽较前日-60.7% (64,767->25,458手)
[2026-08-27] [中] 跳变            14:45  同槽较前日+84.4% (33,233->61,283手)
[2026-08-26] [中] 跳变            09:45  同槽较前日-75.3% (387,121->95,629手)
[2026-08-26] [高] 跳变            13:30  同槽较前日+100.2% (38,700->77,459手)
[2026-08-26] [中] 跳变            13:45  同槽较前日+98.1% (16,303->32,295手)
[2026-08-26] [高] 跳变            14:00  同槽较前日+120.7% (17,032->37,593手)
[2026-08-26] [中] 跳变            14:30  同槽较前日+92.3% (17,983->34,585手)
[2026-08-26] [中] 跳变            15:00  同槽较前日-58.1% (159,674->66,983手)
[2026-08-26] [中] 量价背离             全天  价涨1.9%但量比仅0.74
[2026-08-25] [中] 跳变            09:45  同槽较前日-58.7% (937,537->387,121手)
[2026-08-25] [中] 跳变            11:15  同槽较前日+75.6% (26,410->46,376手)
[2026-08-25] [中] 跳变            13:15  同槽较前日+62.1% (36,278->58,811手)
[2026-08-25] [高] 跳变            13:30  同槽较前日+105.4% (18,838->38,700手)
[2026-08-25] [高] 跳变            15:00  同槽较前日+109.5% (76,224->159,674手)
[2026-08-24] [高] 跳变            09:45  同槽较前日+343.6% (211,328->937,537手)
[2026-08-24] [高] 跳变            10:00  同槽较前日+144.3% (63,688->155,563手)
[2026-08-24] [中] 跳变            11:00  同槽较前日+60.9% (21,708->34,918手)
[2026-08-24] [中] 跳变            11:30  同槽较前日+52.4% (16,864->25,702手)
[2026-08-24] [中] 跳变            14:00  同槽较前日+76.6% (16,091->28,414手)
[2026-08-24] [极端] 开盘极端放量        09:30  开盘30min为均量3.05倍
[2026-08-24] [高] 量价背离             全天  价跌-4.4%但量比达1.49
[2026-08-21] [中] 跳变            09:45  同槽较前日+64.9% (128,121->211,328手)
[2026-08-21] [高] 跳变            10:15  同槽较前日+269.5% (48,016->177,426手)
[2026-08-21] [中] 跳变            10:30  同槽较前日+79.7% (59,349->106,657手)
[2026-08-21] [中] 跳变            11:30  同槽较前日+57.0% (10,739->16,864手)
[2026-08-21] [高] 跳变            13:15  同槽较前日+250.9% (16,454->57,741手)
[2026-08-21] [中] 跳变            13:45  同槽较前日-58.3% (49,615->20,714手)
[2026-08-20] [中] 跳变            09:45  同槽较前日-60.9% (328,023->128,121手)
[2026-08-20] [中] 跳变            10:00  同槽较前日-60.1% (132,635->52,931手)
[2026-08-20] [中] 跳变            10:15  同槽较前日-57.3% (112,481->48,016手)
[2026-08-20] [中] 跳变            11:15  同槽较前日-75.6% (73,675->17,994手)
[2026-08-20] [中] 跳变            11:30  同槽较前日-81.9% (59,316->10,739手)
[2026-08-20] [中] 跳变            13:15  同槽较前日-67.1% (49,953->16,454手)
[2026-08-20] [中] 跳变            13:30  同槽较前日-51.5% (44,146->21,418手)
[2026-08-20] [中] 跳变            14:15  同槽较前日-79.8% (100,756->20,374手)
[2026-08-19] [高] 跳变            09:45  同槽较前日+115.7% (152,108->328,023手)
[2026-08-19] [中] 跳变            10:30  同槽较前日+84.5% (53,133->98,005手)
[2026-08-19] [中] 跳变            11:00  同槽较前日-89.4% (286,800->30,459手)
[2026-08-19] [中] 跳变            13:30  同槽较前日+75.8% (25,118->44,146手)
[2026-08-19] [高] 跳变            14:15  同槽较前日+228.1% (30,713->100,756手)
[2026-08-19] [中] 跳变            14:45  同槽较前日+62.2% (47,067->76,342手)
[2026-08-19] [高] 量价背离             全天  价跌-3.5%但量比达1.22
[2026-08-18] [中] 跳变            10:15  同槽较前日+65.8% (76,347->126,558手)
[2026-08-18] [高] 跳变            11:00  同槽较前日+906.7% (28,488->286,800手)
[2026-08-18] [高] 跳变            11:15  同槽较前日+125.0% (35,563->80,025手)
[2026-08-18] [中] 跳变            13:30  同槽较前日-51.5% (51,800->25,118手)
[2026-08-18] [中] 跳变            13:45  同槽较前日+81.9% (30,325->55,146手)
[2026-08-17] [中] 跳变            09:45  同槽较前日-56.4% (629,568->274,339手)
[2026-08-17] [中] 跳变            10:45  同槽较前日-62.7% (146,144->54,496手)
[2026-08-17] [中] 跳变            11:00  同槽较前日-65.6% (82,752->28,488手)
[2026-08-17] [高] 跳变            11:30  同槽较前日+113.7% (46,665->99,711手)
[2026-08-17] [高] 跳变            13:15  同槽较前日+241.8% (40,878->139,717手)
[2026-08-17] [中] 跳变            13:30  同槽较前日+89.1% (27,391->51,800手)
[2026-08-17] [高] 跳变            14:00  同槽较前日+165.6% (29,546->78,483手)
[2026-08-14] [高] 量价背离             全天  价跌-2.8%但量比达1.48
