紫金矿业 异动预警  数据区间 2026-08-13 ~ 2026-09-10  共101条
[2026-09-02] [高] 跳变            10:00  同槽较前日+220.6% (128,140->410,809手)
[2026-09-02] [中] 跳变            10:15  同槽较前日+69.4% (169,988->287,880手)
[2026-09-02] [高] 跳变            13:30  同槽较前日+161.5% (47,893->125,253手)
[2026-09-02] [中] 跳变            13:45  同槽较前日+78.8% (55,570->99,361手)
[2026-09-02] [中] 跳变            14:00  同槽较前日+72.4% (40,769->70,305手)
[2026-09-01] [中] 跳变            09:45  同槽较前日-62.8% (920,144->342,340手)
[2026-09-01] [中] 跳变            10:00  同槽较前日-58.1% (306,188->128,140手)
[2026-09-01] [中] 跳变            13:30  同槽较前日-68.0% (149,815->47,893手)
[2026-09-01] [中] 跳变            13:45  同槽较前日-74.7% (219,731->55,570手)
[2026-09-01] [中] 跳变            14:00  同槽较前日-69.4% (133,275->40,769手)
[2026-09-01] [中] 跳变            14:15  同槽较前日-55.5% (105,441->46,881手)
[2026-08-31] [高] 跳变            09:45  同槽较前日+153.0% (363,638->920,144手)
[2026-08-31] [中] 跳变            11:00  同槽较前日+58.0% (81,649->129,021手)
[2026-08-31] [高] 跳变            13:30  同槽较前日+140.9% (62,192->149,815手)
[2026-08-31] [高] 跳变            13:45  同槽较前日+388.5% (44,985->219,731手)
[2026-08-31] [高] 跳变            14:00  同槽较前日+256.5% (37,384->133,275手)
[2026-08-31] [高] 跳变            14:15  同槽较前日+117.6% (48,460->105,441手)
[2026-08-31] [中] 跳变            14:45  同槽较前日+76.5% (64,978->114,688手)
[2026-08-28] [中] 跳变            10:00  同槽较前日+72.0% (182,248->313,482手)
[2026-08-28] [中] 跳变            10:45  同槽较前日+66.9% (116,982->195,244手)
[2026-08-28] [中] 跳变            13:15  同槽较前日-55.3% (150,760->67,457手)
[2026-08-28] [中] 跳变            14:15  同槽较前日-50.3% (97,586->48,460手)
[2026-08-27] [中] 跳变            10:00  同槽较前日-65.6% (530,526->182,248手)
[2026-08-27] [中] 跳变            10:15  同槽较前日-56.4% (293,186->127,949手)
[2026-08-27] [中] 跳变            10:45  同槽较前日-68.0% (365,424->116,982手)
[2026-08-27] [中] 跳变            11:30  同槽较前日+62.6% (83,035->134,996手)
[2026-08-26] [高] 跳变            10:30  同槽较前日+141.8% (136,610->330,310手)
[2026-08-26] [高] 跳变            10:45  同槽较前日+369.0% (77,918->365,424手)
[2026-08-26] [中] 跳变            13:15  同槽较前日+78.2% (99,938->178,122手)
[2026-08-26] [中] 跳变            14:30  同槽较前日+60.3% (70,763->113,411手)
[2026-08-25] [中] 跳变            10:30  同槽较前日-57.8% (323,861->136,610手)
[2026-08-25] [中] 跳变            10:45  同槽较前日-58.2% (186,619->77,918手)
[2026-08-24] [高] 跳变            10:15  同槽较前日+143.5% (158,470->385,852手)
[2026-08-24] [高] 跳变            11:00  同槽较前日+138.5% (77,822->185,639手)
[2026-08-24] [中] 跳变            14:15  同槽较前日-66.7% (317,877->105,852手)
[2026-08-24] [高] 量价背离             全天  价跌-2.4%但量比达1.45
[2026-08-21] [中] 跳变            09:45  同槽较前日-57.0% (1,282,037->551,905手)
[2026-08-21] [中] 跳变            10:15  同槽较前日-69.9% (525,704->158,470手)
[2026-08-21] [高] 跳变            14:15  同槽较前日+154.8% (124,743->317,877手)
[2026-08-21] [中] 跳变            14:30  同槽较前日+69.6% (110,099->186,725手)
[2026-08-20] [高] 跳变            09:45  同槽较前日+184.4% (450,785->1,282,037手)
[2026-08-20] [高] 跳变            10:00  同槽较前日+233.1% (139,567->464,860手)
[2026-08-20] [高] 跳变            10:15  同槽较前日+348.5% (117,217->525,704手)
[2026-08-20] [高] 跳变            10:30  同槽较前日+116.6% (105,445->228,408手)
[2026-08-20] [高] 跳变            10:45  同槽较前日+108.9% (70,814->147,924手)
[2026-08-20] [中] 跳变            11:00  同槽较前日+78.8% (56,268->100,579手)
[2026-08-20] [高] 跳变            11:15  同槽较前日+119.5% (63,526->139,470手)
[2026-08-20] [中] 跳变            11:30  同槽较前日+84.7% (61,814->114,189手)
[2026-08-20] [中] 跳变            13:15  同槽较前日+75.8% (116,459->204,774手)
[2026-08-20] [中] 跳变            13:45  同槽较前日+83.4% (75,221->137,974手)
[2026-08-19] [中] 跳变            10:30  同槽较前日+74.1% (60,552->105,445手)
[2026-08-19] [中] 跳变            13:45  同槽较前日+62.8% (46,218->75,221手)
[2026-08-18] [中] 跳变            10:45  同槽较前日+56.3% (83,929->131,175手)
[2026-08-18] [中] 跳变            13:45  同槽较前日-55.2% (103,216->46,218手)
[2026-08-18] [中] 跳变            14:30  同槽较前日+71.3% (74,943->128,342手)
[2026-08-18] [中] 跳变            14:45  同槽较前日+81.6% (88,803->161,292手)
[2026-08-17] [中] 跳变            13:30  同槽较前日-68.4% (173,711->54,936手)
[2026-08-17] [中] 跳变            14:30  同槽较前日+50.7% (49,735->74,943手)
[2026-08-17] [中] 跳变            15:00  同槽较前日+68.9% (104,001->175,684手)
[2026-08-14] [中] 跳变            09:45  同槽较前日+61.4% (334,948->540,579手)
[2026-08-14] [中] 跳变            10:00  同槽较前日-53.5% (456,760->212,456手)
[2026-08-14] [中] 跳变            10:15  同槽较前日-64.3% (330,940->118,043手)
[2026-08-14] [中] 跳变            10:45  同槽较前日-60.5% (181,919->71,939手)
[2026-08-14] [中] 跳变            11:00  同槽较前日-58.1% (137,892->57,805手)
[2026-08-14] [中] 跳变            11:15  同槽较前日-73.7% (166,185->43,744手)
[2026-08-14] [中] 跳变            13:30  同槽较前日+90.0% (91,408->173,711手)
[2026-08-14] [中] 跳变            14:00  同槽较前日-58.1% (145,895->61,189手)
[2026-08-14] [中] 跳变            14:15  同槽较前日-52.1% (145,012->69,499手)
[2026-08-14] [中] 跳变            14:30  同槽较前日-73.0% (183,898->49,735手)
[2026-08-14] [中] 跳变            14:45  同槽较前日-73.7% (273,603->71,971手)
[2026-08-14] [中] 跳变            15:00  同槽较前日-58.4% (250,284->104,001手)
[2026-08-14] [中] 量价背离             全天  价涨2.3%但量比仅0.84
[2026-08-13] [高] 量价背离             全天  价跌-4.1%但量比达1.43
